player_name,player_position,player_team,year,week,receptions,targets,receiving_yards,receiving_yards_per_reception,receiving_touchdowns,rushing_attempts,rushing_yards,rushing_yards_per_attempt,rushing_touchdowns,standard_points,half_ppr_points,ppr_points
Brent Celek,TE,FA,2010,1,2,4,32,16.0,0,0,0,0.0,0,0.0,4.2,0.0
Randy McMichael,TE,FA,2010,1,2,2,28,14.0,0,0,0,0.0,0,0.0,3.8,0.0
Jeremy Shockey,TE,FA,2010,1,3,3,23,7.7,0,0,0,0.0,0,0.0,3.8,0.0
Greg Olsen,TE,FA,2010,1,4,6,37,9.3,0,0,0,0.0,0,0.0,3.7,0.0
Daniel Fells,TE,FA,2010,1,4,5,15,3.8,0,0,0,0.0,0,0.0,3.5,0.0
Billy Bajema,TE,FA,2010,1,3,5,18,6.0,0,0,0,0.0,0,0.0,3.3,0.0
Benjamin Watson,TE,FA,2010,1,3,6,16,5.3,0,1,-1,-1.0,0,0.0,3.0,0.0
Craig Stevens,TE,FA,2010,1,2,2,18,9.0,0,0,0,0.0,0,0.0,2.8,0.0
Dante Rosario,TE,FA,2010,1,2,4,14,7.0,0,0,0,0.0,0,0.0,2.4,0.0
Dustin Keller,TE,FA,2010,1,2,5,13,6.5,0,0,0,0.0,0,0.0,2.3,0.0
Travis Beckum,TE,FA,2010,1,2,2,11,5.5,0,0,0,0.0,0,0.0,2.1,0.0
Justin Peelle,TE,FA,2010,1,2,2,11,5.5,0,0,0,0.0,0,0.0,2.1,0.0
Zach Miller,TE,FA,2010,1,2,2,8,4.0,0,0,0,0.0,0,0.0,1.8,0.0
Kevin Boss,TE,FA,2010,1,1,1,11,11.0,0,0,0,0.0,0,0.0,1.6,0.0
Cameron Morrah,TE,FA,2010,1,1,2,11,11.0,0,0,0,0.0,0,0.0,1.6,0.0
Owen Daniels,TE,FA,2010,1,1,2,9,9.0,0,0,0,0.0,0,0.0,1.4,0.0
David Thomas,TE,FA,2010,1,2,4,3,1.5,0,0,0,0.0,0,0.0,1.3,0.0
Michael Hoomanawanui,TE,FA,2010,1,1,1,8,8.0,0,0,0,0.0,0,0.0,1.3,0.0
Jerramy Stevens,TE,FA,2010,1,1,1,8,8.0,0,0,0,0.0,0,0.0,1.3,0.0
Jeff Dugan,TE,FA,2010,1,1,1,8,8.0,0,0,0,0.0,0,0.0,1.3,0.0
Martellus Bennett,TE,FA,2010,1,1,1,7,7.0,0,0,0,0.0,0,0.0,1.2,0.0
Jimmy Kleinsasser,TE,FA,2010,1,1,2,6,6.0,0,0,0,0.0,0,0.0,1.1,0.0
Brandon Pettigrew,TE,FA,2010,1,1,2,6,6.0,0,0,0,0.0,0,0.0,1.1,0.0
Brandon Myers,TE,FA,2010,1,1,1,5,5.0,0,0,0,0.0,0,0.0,1.0,0.0
Nate Byham,TE,FA,2010,1,1,1,5,5.0,0,0,0,0.0,0,0.0,1.0,0.0
Dan Gronkowski,TE,FA,2010,1,1,1,2,2.0,0,0,0,0.0,0,0.0,0.7,0.0
Mike Sellers,TE,FA,2010,1,1,3,2,2.0,0,0,0,0.0,0,0.0,0.7,0.0
Stephen Spach,TE,FA,2010,1,1,1,0,0.0,0,0,0,0.0,0,0.0,0.5,0.0
Tim Tebow,TE,FA,2010,1,0,0,0,0.0,0,2,2,1.0,0,0.0,0.2,0.0
Andre Johnson,WR,FA,2010,2,12,17,158,13.2,1,0,0,0.0,0,0.0,27.8,0.0
Kevin Walter,WR,FA,2010,2,11,11,144,13.1,1,0,0,0.0,0,0.0,25.9,0.0
DeSean Jackson,WR,FA,2010,2,4,7,135,33.8,1,1,5,5.0,0,0.0,22.0,0.0
Demaryius Thomas,WR,FA,2010,2,8,9,97,12.1,1,0,0,0.0,0,0.0,19.7,0.0
Mike Sims-Walker,WR,FA,2010,2,10,12,105,10.5,1,0,0,0.0,0,0.0,19.5,0.0
Miles Austin,WR,FA,2010,2,10,15,142,14.2,0,0,0,0.0,0,0.0,19.2,0.0
Reggie Wayne,WR,FA,2010,2,7,9,96,13.7,1,0,0,0.0,0,0.0,19.1,0.0
Louis Murphy,WR,FA,2010,2,6,10,91,15.2,1,0,0,0.0,0,0.0,18.1,0.0
Roddy White,WR,FA,2010,2,7,12,78,11.1,1,0,0,0.0,0,0.0,17.3,0.0
Malcom Floyd,WR,FA,2010,2,3,4,95,31.7,1,0,0,0.0,0,0.0,17.0,0.0
Devin Hester,WR,FA,2010,2,4,6,77,19.3,1,0,0,0.0,0,0.0,15.7,0.0
Mario Manningham,WR,FA,2010,2,4,6,75,18.8,1,1,2,2.0,0,0.0,15.7,0.0
