player_name,player_position,player_team,week,receptions,targets,receiving_yards,receiving_yards_per_reception,receiving_touchdowns,rushing_attempts,rushing_yards,rushing_yards_per_attempt,rushing_touchdowns,standard_points,half_ppr_points,ppr_points
John Bates,TE,WAS,11,2,2,15,7.5,0,0,0,0.0,0,0.0,2.5,0.0
Geoff Swaim,TE,ARI,11,2,2,15,7.5,0,0,0,0.0,0,0.0,2.5,0.0
Stephen Sullivan,TE,CAR,11,1,1,20,20.0,0,0,0,0.0,0,0.0,2.5,0.0
Payne Durham,TE,TB,11,2,2,13,6.5,0,0,0,0.0,0,0.0,2.3,0.0
Tyler Higbee,TE,LAR,11,1,3,17,17.0,0,0,0,0.0,0,0.0,2.2,0.0
Charlie Kolar,TE,BAL,11,1,1,13,13.0,0,0,0,0.0,0,0.0,1.8,0.0
Quintin Morris,TE,BUF,11,1,2,11,11.0,0,0,0,0.0,0,0.0,1.6,0.0
Will Dissly,TE,SEA,11,1,3,9,9.0,0,0,0,0.0,0,0.0,1.4,0.0
Darnell Washington,TE,PIT,11,1,1,8,8.0,0,0,0,0.0,0,0.0,1.3,0.0
Pat Freiermuth,TE,PIT,11,1,1,7,7.0,0,0,0,0.0,0,0.0,1.2,0.0
Cole Turner,TE,WAS,11,1,1,7,7.0,0,0,0,0.0,0,0.0,1.2,0.0
Josh Whyle,TE,TEN,11,1,2,7,7.0,0,0,0,0.0,0,0.0,1.2,0.0
Chigoziem Okonkwo,TE,TEN,11,1,2,6,6.0,0,0,0,0.0,0,0.0,1.1,0.0
Noah Fant,TE,SEA,11,1,2,4,4.0,0,0,0,0.0,0,0.0,0.9,0.0
Jack Stoll,TE,PHI,11,1,2,3,3.0,0,0,0,0.0,0,0.0,0.8,0.0
Elijah Higgins,TE,ARI,11,1,2,2,2.0,0,0,0,0.0,0,0.0,0.7,0.0
